 TIME                    	Pump1flow                	PumpDeaLPflow            	PumpDeaHPflow            	
  +6.2500000000000000E+00	  +8.4338401757993590E+04	  +9.7169944144948735E+04	  +1.1231000000000000E+05	
  +6.3750000000000000E+00	  +8.4338394170055006E+04	  +9.7169946105929776E+04	  +1.1231000000000000E+05	
  +6.5000000000000000E+00	  +8.4338395971259088E+04	  +9.7169937534942437E+04	  +1.1231000000000000E+05	
  +6.6250000000000000E+00	  +8.4338398055726444E+04	  +9.7169939728497804E+04	  +1.1231000000000000E+05	
  +6.7500000000000000E+00	  +8.4338394604866931E+04	  +9.7169941872611307E+04	  +1.1231000000000000E+05	
  +6.8750000000000000E+00	  +8.4338395894211149E+04	  +9.7169934624548885E+04	  +1.1231000000000000E+05	
  +7.0000000000000000E+00	  +8.4338395349884566E+04	  +9.7169936210383399E+04	  +1.1231000000000000E+05	
  +7.1250000000000000E+00	  +8.4338395383539100E+04	  +9.7169938162447070E+04	  +1.1231000000000000E+05	
  +7.2500000000000000E+00	  +8.4338403140297494E+04	  +9.7169938410240691E+04	  +1.1231000000000000E+05	
  +7.3750000000000000E+00	  +8.4338403464358242E+04	  +9.7169946266240629E+04	  +1.1231000000000000E+05	
  +7.5000000000000000E+00	  +8.4338396834075655E+04	  +9.7169948525734450E+04	  +1.1231000000000000E+05	
  +7.6250000000000000E+00	  +8.4338396128594468E+04	  +9.7169940379221691E+04	  +1.1231000000000000E+05	
  +7.7500000000000000E+00	  +8.4338397653846914E+04	  +9.7169939826006885E+04	  +1.1231000000000000E+05	
  +7.8750000000000000E+00	  +8.4338394577250758E+04	  +9.7169941253422410E+04	  +1.1231000000000000E+05	
  +8.0000000000000000E+00	  +8.4338395447856732E+04	  +9.7169934579960856E+04	  +1.1231000000000000E+05	
  +8.1250000000000000E+00	  +8.4338395626297075E+04	  +9.7169935758791951E+04	  +1.1231000000000000E+05	
  +8.2500000000000000E+00	  +8.4338395357145564E+04	  +9.7169938406273388E+04	  +1.1231000000000000E+05	
  +8.3750000000000000E+00	  +8.4338403167033335E+04	  +9.7169938493256253E+04	  +1.1231000000000000E+05	
  +8.5000000000000000E+00	  +8.4338403198597371E+04	  +9.7169946251414687E+04	  +1.1231000000000000E+05	
  +8.6250000000000000E+00	  +8.4338396813774365E+04	  +9.7169948221969491E+04	  +1.1231000000000000E+05	
  +8.7500000000000000E+00	  +8.4338396173988076E+04	  +9.7169940360323380E+04	  +1.1231000000000000E+05	
  +8.8750000000000000E+00	  +8.4338397707207798E+04	  +9.7169939932425725E+04	  +1.1231000000000000E+05	
  +9.0000000000000000E+00	  +8.4338394636108293E+04	  +9.7169941407126869E+04	  +1.1231000000000000E+05	
  +9.1250000000000000E+00	  +8.4338395411028658E+04	  +9.7169934638540144E+04	  +1.1231000000000000E+05	
  +9.2500000000000000E+00	  +8.4338395596399409E+04	  +9.7169935711763857E+04	  +1.1231000000000000E+05	
  +9.3750000000000000E+00	  +8.4338395153231308E+04	  +9.7169938351900157E+04	  +1.1231000000000000E+05	
  +9.5000000000000000E+00	  +8.4338403191753838E+04	  +9.7169938262452502E+04	  +1.1231000000000000E+05	
  +9.6250000000000000E+00	  +8.4338403216623847E+04	  +9.7169946283620156E+04	  +1.1231000000000000E+05	
  +9.7500000000000000E+00	  +8.4338396831026155E+04	  +9.7169948258110962E+04	  +1.1231000000000000E+05	
  +9.8750000000000000E+00	  +8.4338396184520418E+04	  +9.7169940376234445E+04	  +1.1231000000000000E+05	
  +1.0000000000000000E+01	  +8.4338397695587104E+04	  +9.7169939942607452E+04	  +1.1231000000000000E+05	
  +1.0125000000000000E+01	  +8.4338394632631127E+04	  +9.7169941392993846E+04	  +1.1231000000000000E+05	
  +1.0250000000000000E+01	  +8.4338395402964888E+04	  +9.7169934633229233E+04	  +1.1231000000000000E+05	
  +1.0375000000000000E+01	  +8.4338395612430380E+04	  +9.7169935704719261E+04	  +1.1231000000000000E+05	
  +1.0500000000000000E+01	  +8.4338395153157515E+04	  +9.7169938370437143E+04	  +1.1231000000000000E+05	
  +1.0625000000000000E+01	  +8.4338403189537945E+04	  +9.7169938262617463E+04	  +1.1231000000000000E+05	
  +1.0750000000000000E+01	  +8.4338403211405574E+04	  +9.7169946279402677E+04	  +1.1231000000000000E+05	
  +1.0875000000000000E+01	  +8.4338396828549317E+04	  +9.7169948252131784E+04	  +1.1231000000000000E+05	
  +1.1000000000000000E+01	  +8.4338396186977858E+04	  +9.7169940373786463E+04	  +1.1231000000000000E+05	
  +1.1125000000000000E+01	  +8.4338397697009903E+04	  +9.7169939945867809E+04	  +1.1231000000000000E+05	
  +1.1250000000000000E+01	  +8.4338394634635755E+04	  +9.7169941394892972E+04	  +1.1231000000000000E+05	
  +1.1375000000000000E+01	  +8.4338395401555375E+04	  +9.7169934635212194E+04	  +1.1231000000000000E+05	
  +1.1500000000000000E+01	  +8.4338395611437067E+04	  +9.7169935702952251E+04	  +1.1231000000000000E+05	
  +1.1625000000000000E+01	  +8.4338395152703306E+04	  +9.7169938369140596E+04	  +1.1231000000000000E+05	
  +1.1750000000000000E+01	  +8.4338403190114186E+04	  +9.7169938262267184E+04	  +1.1231000000000000E+05	
  +1.1875000000000000E+01	  +8.4338403212023986E+04	  +9.7169946280168806E+04	  +1.1231000000000000E+05	
  +1.2000000000000000E+01	  +8.4338396828476834E+04	  +9.7169948252849237E+04	  +1.1231000000000000E+05	
  +1.2125000000000000E+01	  +8.4338396186795697E+04	  +9.7169940373641599E+04	  +1.1231000000000000E+05	
  +1.2250000000000000E+01	  +8.4338397696642438E+04	  +9.7169939945594233E+04	  +1.1231000000000000E+05	
  +1.2375000000000000E+01	  +8.4338394634692275E+04	  +9.7169941394489797E+04	  +1.1231000000000000E+05	
  +1.2500000000000000E+01	  +8.4338395401716509E+04	  +9.7169934635302445E+04	  +1.1231000000000000E+05	
  +1.2625000000000000E+01	  +8.4338395611580025E+04	  +9.7169935703171810E+04	  +1.1231000000000000E+05	
  +1.2750000000000000E+01	  +8.4338395152681187E+04	  +9.7169938369294017E+04	  +1.1231000000000000E+05	
  +1.2875000000000000E+01	  +8.4338403190003417E+04	  +9.7169938262221636E+04	  +1.1231000000000000E+05	
  +1.3000000000000000E+01	  +8.4338403211980461E+04	  +9.7169946280030592E+04	  +1.1231000000000000E+05	
  +1.3125000000000000E+01	  +8.4338396828484430E+04	  +9.7169948252803530E+04	  +1.1231000000000000E+05	
  +1.3250000000000000E+01	  +8.4338396186855840E+04	  +9.7169940373662728E+04	  +1.1231000000000000E+05	
  +1.3375000000000000E+01	  +8.4338397696661690E+04	  +9.7169939945666309E+04	  +1.1231000000000000E+05	
  +1.3500000000000000E+01	  +8.4338394634679993E+04	  +9.7169941394509646E+04	  +1.1231000000000000E+05	
  +1.3625000000000000E+01	  +8.4338395401689195E+04	  +9.7169934635282043E+04	  +1.1231000000000000E+05	
  +1.3750000000000000E+01	  +8.4338395611569737E+04	  +9.7169935703139097E+04	  +1.1231000000000000E+05	
  +1.3875000000000000E+01	  +8.4338395152692916E+04	  +9.7169938369284340E+04	  +1.1231000000000000E+05	
  +1.4000000000000000E+01	  +8.4338403190015219E+04	  +9.7169938262237789E+04	  +1.1231000000000000E+05	
  +1.4125000000000000E+01	  +8.4338403211984914E+04	  +9.7169946280044824E+04	  +1.1231000000000000E+05	
  +1.4250000000000000E+01	  +8.4338396828477402E+04	  +9.7169948252807051E+04	  +1.1231000000000000E+05	
  +1.4375000000000000E+01	  +8.4338396186849859E+04	  +9.7169940373653502E+04	  +1.1231000000000000E+05	
  +1.4500000000000000E+01	  +8.4338397696660584E+04	  +9.7169939945659236E+04	  +1.1231000000000000E+05	
  +1.4625000000000000E+01	  +8.4338394634683616E+04	  +9.7169941394509238E+04	  +1.1231000000000000E+05	
  +1.4750000000000000E+01	  +8.4338395401692469E+04	  +9.7169934635286801E+04	  +1.1231000000000000E+05	
  +1.4875000000000000E+01	  +8.4338395611569547E+04	  +9.7169935703142823E+04	  +1.1231000000000000E+05	
  +1.5000000000000000E+01	  +8.4338395152691053E+04	  +9.7169938369283685E+04	  +1.1231000000000000E+05	
  +1.5125000000000000E+01	  +8.4338403190013647E+04	  +9.7169938262235359E+04	  +1.1231000000000000E+05	
  +1.5250000000000000E+01	  +8.4338403211985205E+04	  +9.7169946280043107E+04	  +1.1231000000000000E+05	
  +1.5375000000000000E+01	  +8.4338396828478464E+04	  +9.7169948252807619E+04	  +1.1231000000000000E+05	
  +1.5500000000000000E+01	  +8.4338396186850514E+04	  +9.7169940373654856E+04	  +1.1231000000000000E+05	
  +1.5625000000000000E+01	  +8.4338397696660366E+04	  +9.7169939945659906E+04	  +1.1231000000000000E+05	
  +1.5750000000000000E+01	  +8.4338394634683005E+04	  +9.7169941394508860E+04	  +1.1231000000000000E+05	
  +1.5875000000000000E+01	  +8.4338395401692193E+04	  +9.7169934635286045E+04	  +1.1231000000000000E+05	
  +1.6000000000000000E+01	  +8.4338395611569707E+04	  +9.7169935703142546E+04	  +1.1231000000000000E+05	
  +1.6125000000000000E+01	  +8.4338395152691373E+04	  +9.7169938369283962E+04	  +1.1231000000000000E+05	
  +1.6250000000000000E+01	  +8.4338403190013749E+04	  +9.7169938262235737E+04	  +1.1231000000000000E+05	
  +1.6375000000000000E+01	  +8.4338403211985089E+04	  +9.7169946280043194E+04	  +1.1231000000000000E+05	
  +1.6500000000000000E+01	  +8.4338396828478304E+04	  +9.7169948252807473E+04	  +1.1231000000000000E+05	
  +1.6625000000000000E+01	  +8.4338396186850441E+04	  +9.7169940373654666E+04	  +1.1231000000000000E+05	
  +1.6750000000000000E+01	  +8.4338397696660424E+04	  +9.7169939945659848E+04	  +1.1231000000000000E+05	
  +1.6875000000000000E+01	  +8.4338394634683063E+04	  +9.7169941394508947E+04	  +1.1231000000000000E+05	
  +1.7000000000000000E+01	  +8.4338395401692222E+04	  +9.7169934635286118E+04	  +1.1231000000000000E+05	
  +1.7125000000000000E+01	  +8.4338395611569678E+04	  +9.7169935703142575E+04	  +1.1231000000000000E+05	
  +1.7250000000000000E+01	  +8.4338395152691330E+04	  +9.7169938369283904E+04	  +1.1231000000000000E+05	
  +1.7375000000000000E+01	  +8.4338403190013720E+04	  +9.7169938262235679E+04	  +1.1231000000000000E+05	
  +1.7500000000000000E+01	  +8.4338403211985118E+04	  +9.7169946280043165E+04	  +1.1231000000000000E+05	
  +1.7625000000000000E+01	  +8.4338396828478333E+04	  +9.7169948252807502E+04	  +1.1231000000000000E+05	
  +1.7750000000000000E+01	  +8.4338396186850470E+04	  +9.7169940373654696E+04	  +1.1231000000000000E+05	
  +1.7875000000000000E+01	  +8.4338397696660424E+04	  +9.7169939945659877E+04	  +1.1231000000000000E+05	
  +1.8000000000000000E+01	  +8.4338394634683063E+04	  +9.7169941394508933E+04	  +1.1231000000000000E+05	
  +1.8125000000000000E+01	  +8.4338395401692222E+04	  +9.7169934635286118E+04	  +1.1231000000000000E+05	
  +1.8250000000000000E+01	  +8.4338395611569678E+04	  +9.7169935703142575E+04	  +1.1231000000000000E+05	
  +1.8375000000000000E+01	  +8.4338395152691344E+04	  +9.7169938369283918E+04	  +1.1231000000000000E+05	
  +1.8500000000000000E+01	  +8.4338403190013749E+04	  +9.7169938262235693E+04	  +1.1231000000000000E+05	
  +1.8625000000000000E+01	  +8.4338403211985118E+04	  +9.7169946280043194E+04	  +1.1231000000000000E+05	
  +1.8750000000000000E+01	  +8.4338396828478319E+04	  +9.7169948252807502E+04	  +1.1231000000000000E+05	
  +1.8875000000000000E+01	  +8.4338396186850470E+04	  +9.7169940373654681E+04	  +1.1231000000000000E+05	
  +1.9000000000000000E+01	  +8.4338397696660424E+04	  +9.7169939945659877E+04	  +1.1231000000000000E+05	
  +1.9125000000000000E+01	  +8.4338394634683063E+04	  +9.7169941394508933E+04	  +1.1231000000000000E+05	
  +1.9250000000000000E+01	  +8.4338395401692222E+04	  +9.7169934635286118E+04	  +1.1231000000000000E+05	
  +1.9375000000000000E+01	  +8.4338395611569678E+04	  +9.7169935703142575E+04	  +1.1231000000000000E+05	
  +1.9500000000000000E+01	  +8.4338395152691330E+04	  +9.7169938369283904E+04	  +1.1231000000000000E+05	
  +1.9625000000000000E+01	  +8.4338403190013749E+04	  +9.7169938262235679E+04	  +1.1231000000000000E+05	
  +1.9750000000000000E+01	  +8.4338403211985118E+04	  +9.7169946280043194E+04	  +1.1231000000000000E+05	
  +1.9875000000000000E+01	  +8.4338396828478333E+04	  +9.7169948252807502E+04	  +1.1231000000000000E+05	
  +2.0000000000000000E+01	  +8.4338396186850470E+04	  +9.7169940373654696E+04	  +1.1231000000000000E+05	
  +2.0125000000000000E+01	  +8.4338397696660424E+04	  +9.7169939945659877E+04	  +1.1231000000000000E+05	
  +2.0250000000000000E+01	  +8.4338394634683063E+04	  +9.7169941394508933E+04	  +1.1231000000000000E+05	
  +2.0375000000000000E+01	  +8.4338395401692222E+04	  +9.7169934635286118E+04	  +1.1231000000000000E+05	
  +2.0500000000000000E+01	  +8.4338395611569678E+04	  +9.7169935703142575E+04	  +1.1231000000000000E+05	
  +2.0625000000000000E+01	  +8.4338395152691330E+04	  +9.7169938369283904E+04	  +1.1231000000000000E+05	
  +2.0750000000000000E+01	  +8.4338403190013749E+04	  +9.7169938262235679E+04	  +1.1231000000000000E+05	
  +2.0875000000000000E+01	  +8.4338403211985118E+04	  +9.7169946280043194E+04	  +1.1231000000000000E+05	
  +2.1000000000000000E+01	  +8.4338396828478333E+04	  +9.7169948252807502E+04	  +1.1231000000000000E+05	
  +2.1125000000000000E+01	  +8.4338396186850470E+04	  +9.7169940373654696E+04	  +1.1231000000000000E+05	
  +2.1250000000000000E+01	  +8.4338397696660424E+04	  +9.7169939945659877E+04	  +1.1231000000000000E+05	
  +2.1375000000000000E+01	  +8.4338394634683063E+04	  +9.7169941394508933E+04	  +1.1231000000000000E+05	
  +2.1500000000000000E+01	  +8.4338395401692222E+04	  +9.7169934635286118E+04	  +1.1231000000000000E+05	
  +2.1625000000000000E+01	  +8.4338395611569678E+04	  +9.7169935703142575E+04	  +1.1231000000000000E+05	
  +2.1750000000000000E+01	  +8.4338395152691330E+04	  +9.7169938369283904E+04	  +1.1231000000000000E+05	
  +2.1875000000000000E+01	  +8.4338403190013749E+04	  +9.7169938262235679E+04	  +1.1231000000000000E+05	
  +2.2000000000000000E+01	  +8.4338403211985118E+04	  +9.7169946280043194E+04	  +1.1231000000000000E+05	
  +2.2125000000000000E+01	  +8.4338396828478333E+04	  +9.7169948252807502E+04	  +1.1231000000000000E+05	
  +2.2250000000000000E+01	  +8.4338396186850470E+04	  +9.7169940373654696E+04	  +1.1231000000000000E+05	
  +2.2375000000000000E+01	  +8.4338397696660424E+04	  +9.7169939945659877E+04	  +1.1231000000000000E+05	
  +2.2500000000000000E+01	  +8.4338394634683063E+04	  +9.7169941394508933E+04	  +1.1231000000000000E+05	
  +2.2625000000000000E+01	  +8.4338395401692222E+04	  +9.7169934635286118E+04	  +1.1231000000000000E+05	
  +2.2750000000000000E+01	  +8.4338395611569678E+04	  +9.7169935703142575E+04	  +1.1231000000000000E+05	
  +2.2875000000000000E+01	  +8.4338395152691330E+04	  +9.7169938369283904E+04	  +1.1231000000000000E+05	
  +2.3000000000000000E+01	  +8.4338403190013749E+04	  +9.7169938262235679E+04	  +1.1231000000000000E+05	
  +2.3125000000000000E+01	  +8.4338403211985118E+04	  +9.7169946280043194E+04	  +1.1231000000000000E+05	
  +2.3250000000000000E+01	  +8.4338396828478333E+04	  +9.7169948252807502E+04	  +1.1231000000000000E+05	
  +2.3375000000000000E+01	  +8.4338396186850470E+04	  +9.7169940373654696E+04	  +1.1231000000000000E+05	
  +2.3500000000000000E+01	  +8.4338397696660424E+04	  +9.7169939945659877E+04	  +1.1231000000000000E+05	
  +2.3625000000000000E+01	  +8.4338394634683063E+04	  +9.7169941394508933E+04	  +1.1231000000000000E+05	
  +2.3750000000000000E+01	  +8.4338395401692222E+04	  +9.7169934635286118E+04	  +1.1231000000000000E+05	
  +2.3875000000000000E+01	  +8.4338395611569678E+04	  +9.7169935703142575E+04	  +1.1231000000000000E+05	
  +2.4000000000000000E+01	  +8.4338395152691330E+04	  +9.7169938369283904E+04	  +1.1231000000000000E+05	
  +2.4125000000000000E+01	  +8.4338403190013749E+04	  +9.7169938262235679E+04	  +1.1231000000000000E+05	
  +2.4250000000000000E+01	  +8.4338403211985118E+04	  +9.7169946280043194E+04	  +1.1231000000000000E+05	
  +2.4375000000000000E+01	  +8.4338396828478333E+04	  +9.7169948252807502E+04	  +1.1231000000000000E+05	
  +2.4500000000000000E+01	  +8.4338396186850470E+04	  +9.7169940373654696E+04	  +1.1231000000000000E+05	
  +2.4625000000000000E+01	  +8.4338397696660424E+04	  +9.7169939945659877E+04	  +1.1231000000000000E+05	
  +2.4750000000000000E+01	  +8.4338394634683063E+04	  +9.7169941394508933E+04	  +1.1231000000000000E+05	
  +2.4875000000000000E+01	  +8.4338395401692222E+04	  +9.7169934635286118E+04	  +1.1231000000000000E+05	
  +2.5000000000000000E+01	  +8.4338395611569678E+04	  +9.7169935703142575E+04	  +1.1231000000000000E+05	
  +2.5125000000000000E+01	  +8.4338395152691330E+04	  +9.7169938369283904E+04	  +1.1231000000000000E+05	
  +2.5250000000000000E+01	  +8.4338403190013749E+04	  +9.7169938262235679E+04	  +1.1231000000000000E+05	
  +2.5375000000000000E+01	  +8.4338403211985118E+04	  +9.7169946280043194E+04	  +1.1231000000000000E+05	
  +2.5500000000000000E+01	  +8.4338396828478333E+04	  +9.7169948252807502E+04	  +1.1231000000000000E+05	
  +2.5625000000000000E+01	  +8.4338396186850470E+04	  +9.7169940373654696E+04	  +1.1231000000000000E+05	
  +2.5750000000000000E+01	  +8.4338397696660424E+04	  +9.7169939945659877E+04	  +1.1231000000000000E+05	
  +2.5875000000000000E+01	  +8.4338394634683063E+04	  +9.7169941394508933E+04	  +1.1231000000000000E+05	
  +2.6000000000000000E+01	  +8.4338395401692222E+04	  +9.7169934635286118E+04	  +1.1231000000000000E+05	
  +2.6125000000000000E+01	  +8.4338395611569678E+04	  +9.7169935703142575E+04	  +1.1231000000000000E+05	
  +2.6250000000000000E+01	  +8.4338395152691330E+04	  +9.7169938369283904E+04	  +1.1231000000000000E+05	
  +2.6375000000000000E+01	  +8.4338403190013749E+04	  +9.7169938262235679E+04	  +1.1231000000000000E+05	
  +2.6500000000000000E+01	  +8.4338403211985118E+04	  +9.7169946280043194E+04	  +1.1231000000000000E+05	
  +2.6625000000000000E+01	  +8.4338396828478333E+04	  +9.7169948252807502E+04	  +1.1231000000000000E+05	
  +2.6750000000000000E+01	  +8.4338396186850470E+04	  +9.7169940373654696E+04	  +1.1231000000000000E+05	
  +2.6875000000000000E+01	  +8.4338397696660424E+04	  +9.7169939945659877E+04	  +1.1231000000000000E+05	
  +2.7000000000000000E+01	  +8.4338394634683063E+04	  +9.7169941394508933E+04	  +1.1231000000000000E+05	
  +2.7125000000000000E+01	  +8.4338395401692222E+04	  +9.7169934635286118E+04	  +1.1231000000000000E+05	
  +2.7250000000000000E+01	  +8.4338395611569678E+04	  +9.7169935703142575E+04	  +1.1231000000000000E+05	
  +2.7375000000000000E+01	  +8.4338395152691330E+04	  +9.7169938369283904E+04	  +1.1231000000000000E+05	
  +2.7500000000000000E+01	  +8.4338403190013749E+04	  +9.7169938262235679E+04	  +1.1231000000000000E+05	
  +2.7625000000000000E+01	  +8.4338403211985118E+04	  +9.7169946280043194E+04	  +1.1231000000000000E+05	
  +2.7750000000000000E+01	  +8.4338396828478333E+04	  +9.7169948252807502E+04	  +1.1231000000000000E+05	
  +2.7875000000000000E+01	  +8.4338396186850470E+04	  +9.7169940373654696E+04	  +1.1231000000000000E+05	
  +2.8000000000000000E+01	  +8.4338397696660424E+04	  +9.7169939945659877E+04	  +1.1231000000000000E+05	
  +2.8125000000000000E+01	  +8.4338394634683063E+04	  +9.7169941394508933E+04	  +1.1231000000000000E+05	
  +2.8250000000000000E+01	  +8.4338395401692222E+04	  +9.7169934635286118E+04	  +1.1231000000000000E+05	
  +2.8375000000000000E+01	  +8.4338395611569678E+04	  +9.7169935703142575E+04	  +1.1231000000000000E+05	
  +2.8500000000000000E+01	  +8.4338395152691330E+04	  +9.7169938369283904E+04	  +1.1231000000000000E+05	
  +2.8625000000000000E+01	  +8.4338403190013749E+04	  +9.7169938262235679E+04	  +1.1231000000000000E+05	
  +2.8750000000000000E+01	  +8.4338403211985118E+04	  +9.7169946280043194E+04	  +1.1231000000000000E+05	
  +2.8875000000000000E+01	  +8.4338396828478333E+04	  +9.7169948252807502E+04	  +1.1231000000000000E+05	
  +2.9000000000000000E+01	  +8.4338396186850470E+04	  +9.7169940373654696E+04	  +1.1231000000000000E+05	
  +2.9125000000000000E+01	  +8.4338397696660424E+04	  +9.7169939945659877E+04	  +1.1231000000000000E+05	
  +2.9250000000000000E+01	  +8.4338394634683063E+04	  +9.7169941394508933E+04	  +1.1231000000000000E+05	
  +2.9375000000000000E+01	  +8.4338395401692222E+04	  +9.7169934635286118E+04	  +1.1231000000000000E+05	
  +2.9500000000000000E+01	  +8.4338395611569678E+04	  +9.7169935703142575E+04	  +1.1231000000000000E+05	
  +2.9625000000000000E+01	  +8.4338395152691330E+04	  +9.7169938369283904E+04	  +1.1231000000000000E+05	
  +2.9750000000000000E+01	  +8.4338403190013749E+04	  +9.7169938262235679E+04	  +1.1231000000000000E+05	
  +2.9875000000000000E+01	  +8.4338403211985118E+04	  +9.7169946280043194E+04	  +1.1231000000000000E+05	
  +3.0000000000000000E+01	  +8.4338396828478333E+04	  +9.7169948252807502E+04	  +1.1231000000000000E+05	
  +3.0125000000000000E+01	  +8.4338396186850470E+04	  +9.7169940373654696E+04	  +1.1231000000000000E+05	
  +3.0250000000000000E+01	  +8.4338397696660424E+04	  +9.7169939945659877E+04	  +1.1231000000000000E+05	
  +3.0375000000000000E+01	  +8.4338394634683063E+04	  +9.7169941394508933E+04	  +1.1231000000000000E+05	
